body_name,body_label,assembly,mate_name,good_face_normal,thickness_mm,width_mm,height_mm,area_mm2,wire_count,edge_count,dxf_file
Cabinet1TopOuterBody,Top — outer,Cabinet 1 — front left,Cabinet1TopInnerBody,+Z,5.80000000000058,969.1999999999998,766.0,713569.5150381718,7,130,profiles/Cabinet1TopOuterBody.dxf
Cabinet1TopInnerBody,Top — inner,Cabinet 1 — front left,Cabinet1TopOuterBody,-Z,5.800000000002058,969.1999999999998,766.0,713569.5150382494,7,130,profiles/Cabinet1TopInnerBody.dxf
Cabinet1LowerSideOuterBody,LowerSide — outer,Cabinet 1 — front left,Cabinet1LowerSideInnerBody,-Y,5.800000000000011,969.2000000000005,359.6000000000001,333650.9359265354,5,137,profiles/Cabinet1LowerSideOuterBody.dxf
Cabinet1LowerSideInnerBody,LowerSide — inner,Cabinet 1 — front left,Cabinet1LowerSideOuterBody,+Y,5.8000000000000425,969.200000000001,359.5999999999987,333650.9359265325,5,137,profiles/Cabinet1LowerSideInnerBody.dxf
Cabinet1UpperSideOuterBody,UpperSide — outer,Cabinet 1 — front left,Cabinet1UpperSideInnerBody,+Y,5.8000000000054115,969.2000000000007,359.59999999999866,333562.5786328714,7,139,profiles/Cabinet1UpperSideOuterBody.dxf
Cabinet1UpperSideInnerBody,UpperSide — inner,Cabinet 1 — front left,Cabinet1UpperSideOuterBody,-Y,5.8000000000017735,969.2000000000005,359.59999999999883,333562.5786328524,7,139,profiles/Cabinet1UpperSideInnerBody.dxf
Cabinet1BackOuterBody,Back — outer,Cabinet 1 — front left,Cabinet1BackInnerBody,+X,5.800000000007458,766.0,359.6,260163.9545592411,7,120,profiles/Cabinet1BackOuterBody.dxf
Cabinet1BackInnerBody,Back — inner,Cabinet 1 — front left,Cabinet1BackOuterBody,-X,5.800000000005639,766.0,359.6000000000001,260163.95455946846,7,120,profiles/Cabinet1BackInnerBody.dxf
Cabinet1FrontBottomStripOuterBody,FrontBottomStrip — outer,Cabinet 1 — front left,Cabinet1FrontBottomStripInnerBody,-Z,5.800000000000004,154.39999999999998,766.0000000000008,111040.65274122868,3,80,profiles/Cabinet1FrontBottomStripOuterBody.dxf
Cabinet1FrontBottomStripInnerBody,FrontBottomStrip — inner,Cabinet 1 — front left,Cabinet1FrontBottomStripOuterBody,+Z,5.800000000000018,154.39999999999998,765.9999999999997,111040.65274122846,3,80,profiles/Cabinet1FrontBottomStripInnerBody.dxf
Cabinet1BackBottomStripOuterBody,BackBottomStrip — outer,Cabinet 1 — front left,Cabinet1BackBottomStripInnerBody,-Z,5.8,166.0000000000009,765.9999999999997,119612.44955592186,3,78,profiles/Cabinet1BackBottomStripOuterBody.dxf
Cabinet1BackBottomStripInnerBody,BackBottomStrip — inner,Cabinet 1 — front left,Cabinet1BackBottomStripOuterBody,+Z,5.8,166.00000000000068,765.9999999999978,119612.44955592164,3,78,profiles/Cabinet1BackBottomStripInnerBody.dxf
Cabinet2TopOuterBody,Top — outer001,Cabinet 2 — front right,Cabinet2TopInnerBody,+Z,5.800000000001091,969.1999999999998,766.0,713569.5150379691,7,130,profiles/Cabinet2TopOuterBody.dxf
