part_id,sheet,body_name,body_label,assembly,good_face_normal,x_mm,y_mm,rotation_deg,width_mm,height_mm,dxf_file
P075,1,Cabinet7LeftSideOuterBody,LeftSide — outer002,"Cabinet 7 — left bedside table, front away from wall",-X,0.0,229.20000000000002,90,359.6,512.0,profiles/Cabinet7LeftSideOuterBody.dxf
P076,1,Cabinet7LeftSideInnerBody,LeftSide — inner002,"Cabinet 7 — left bedside table, front away from wall",+X,364.6,229.20000000000002,90,359.6,512.0,profiles/Cabinet7LeftSideInnerBody.dxf
P216,1,Cabinet4DrawerCabinetHighChannelBackLayer2Body,Cabinet 4 drawer cabinet high channel back — layer 2,Cabinet 4 — front right,-Y,0.0,84.2,0,914.8,79.2,profiles/Cabinet4DrawerCabinetHighChannelBackLayer2Body.dxf
P215,1,Cabinet4DrawerCabinetHighChannelBackLayer1Body,Cabinet 4 drawer cabinet high channel back — layer 1,Cabinet 4 — front right,+Y,0.0,0.0,0,914.8,79.2,profiles/Cabinet4DrawerCabinetHighChannelBackLayer1Body.dxf
P293,1,Cabinet7UpperDrawerCabinetLowChannelBackLayer2Body,Cabinet 7 upper drawer cabinet low channel back — layer 2,"Cabinet 7 — left bedside table, front away from wall",+X,729.2,481.8,0,457.6,79.2,profiles/Cabinet7UpperDrawerCabinetLowChannelBackLayer2Body.dxf
P241,1,Cabinet7LowerDrawerCabinetLowChannelBackLayer2Body,Cabinet 7 lower drawer cabinet low channel back — layer 2,"Cabinet 7 — left bedside table, front away from wall",+X,729.2,313.40000000000003,0,457.6,79.2,profiles/Cabinet7LowerDrawerCabinetLowChannelBackLayer2Body.dxf
P240,1,Cabinet7LowerDrawerCabinetLowChannelBackLayer1Body,Cabinet 7 lower drawer cabinet low channel back — layer 1,"Cabinet 7 — left bedside table, front away from wall",-X,729.2,229.20000000000002,0,457.6,79.2,profiles/Cabinet7LowerDrawerCabinetLowChannelBackLayer1Body.dxf
P292,1,Cabinet7UpperDrawerCabinetLowChannelBackLayer1Body,Cabinet 7 upper drawer cabinet low channel back — layer 1,"Cabinet 7 — left bedside table, front away from wall",-X,729.2,397.6,0,457.6,79.2,profiles/Cabinet7UpperDrawerCabinetLowChannelBackLayer1Body.dxf
P212,1,Cabinet4DrawerCabinetHighAntiTipLayer4Body,Cabinet 4 drawer cabinet highantitip strip — layer 4,Cabinet 4 — front right,-Y,0.0,198.8,0,914.8,25.4,profiles/Cabinet4DrawerCabinetHighAntiTipLayer4Body.dxf
P211,1,Cabinet4DrawerCabinetHighAntiTipLayer3Body,Cabinet 4 drawer cabinet highantitip strip — layer 3,Cabinet 4 — front right,+Y,0.0,168.4,0,914.8,25.4,profiles/Cabinet4DrawerCabinetHighAntiTipLayer3Body.dxf
P285,1,Cabinet7UpperDrawerCabinetLowSupportLayer4Body,Cabinet 7 upper drawer cabinet lowsupport strip — layer 4,"Cabinet 7 — left bedside table, front away from wall",+X,729.2,717.9999999999999,0,457.6,25.4,profiles/Cabinet7UpperDrawerCabinetLowSupportLayer4Body.dxf
P235,1,Cabinet7LowerDrawerCabinetLowAntiTipLayer4Body,Cabinet 7 lower drawer cabinet lowantitip strip — layer 4,"Cabinet 7 — left bedside table, front away from wall",+X,729.2,657.1999999999999,0,457.6,25.4,profiles/Cabinet7LowerDrawerCabinetLowAntiTipLayer4Body.dxf
P233,1,Cabinet7LowerDrawerCabinetLowSupportLayer4Body,Cabinet 7 lower drawer cabinet lowsupport strip — layer 4,"Cabinet 7 — left bedside table, front away from wall",+X,729.2,596.4,0,457.6,25.4,profiles/Cabinet7LowerDrawerCabinetLowSupportLayer4Body.dxf
P234,1,Cabinet7LowerDrawerCabinetLowAntiTipLayer3Body,Cabinet 7 lower drawer cabinet lowantitip strip — layer 3,"Cabinet 7 — left bedside table, front away from wall",-X,729.2,626.8,0,457.6,25.4,profiles/Cabinet7LowerDrawerCabinetLowAntiTipLayer3Body.dxf
P284,1,Cabinet7UpperDrawerCabinetLowSupportLayer3Body,Cabinet 7 upper drawer cabinet lowsupport strip — layer 3,"Cabinet 7 — left bedside table, front away from wall",-X,729.2,687.5999999999999,0,457.6,25.4,profiles/Cabinet7UpperDrawerCabinetLowSupportLayer3Body.dxf
P287,1,Cabinet7UpperDrawerCabinetLowAntiTipLayer4Body,Cabinet 7 upper drawer cabinet lowantitip strip — layer 4,"Cabinet 7 — left bedside table, front away from wall",+X,462.6,748.3999999999999,0,457.6,25.4,profiles/Cabinet7UpperDrawerCabinetLowAntiTipLayer4Body.dxf
P232,1,Cabinet7LowerDrawerCabinetLowSupportLayer3Body,Cabinet 7 lower drawer cabinet lowsupport strip — layer 3,"Cabinet 7 — left bedside table, front away from wall",-X,729.2,566.0,0,457.6,25.4,profiles/Cabinet7LowerDrawerCabinetLowSupportLayer3Body.dxf
P286,1,Cabinet7UpperDrawerCabinetLowAntiTipLayer3Body,Cabinet 7 upper drawer cabinet lowantitip strip — layer 3,"Cabinet 7 — left bedside table, front away from wall",-X,0.0,748.3999999999999,0,457.6,25.4,profiles/Cabinet7UpperDrawerCabinetLowAntiTipLayer3Body.dxf
P041,2,Cabinet4UpperSideOuterBody,UpperSide — outer003,Cabinet 4 — front right,+Y,0.0,0.0,0,969.2,359.6,profiles/Cabinet4UpperSideOuterBody.dxf
P042,2,Cabinet4UpperSideInnerBody,UpperSide — inner003,Cabinet 4 — front right,-Y,0.0,364.6,0,969.2,359.6,profiles/Cabinet4UpperSideInnerBody.dxf
P199,2,Cabinet4DrawerBackOuterBody,Drawer back — outer003,Cabinet 4 drawer,-X,974.2,0.0,90,177.8,693.4,profiles/Cabinet4DrawerBackOuterBody.dxf
P210,2,Cabinet4DrawerCabinetHighSupportLayer4Body,Cabinet 4 drawer cabinet highsupport strip — layer 4,Cabinet 4 — front right,-Y,0.0,759.6,0,914.8,25.4,profiles/Cabinet4DrawerCabinetHighSupportLayer4Body.dxf
P209,2,Cabinet4DrawerCabinetHighSupportLayer3Body,Cabinet 4 drawer cabinet highsupport strip — layer 3,Cabinet 4 — front right,+Y,0.0,729.2,0,914.8,25.4,profiles/Cabinet4DrawerCabinetHighSupportLayer3Body.dxf
